rank	player	team	position	adp	min	max
1	"Doncic, Luka"	DAL	G	2.07	1	5
2	"Harden, James"	HOU	G	2.27	1	4
3	"Davis, Anthony"	LAL	"F, C"	3.40	1	6
4	"Antetokounmpo, Giannis"	MIL	F	3.93	1	10
5	"Towns, Karl-Anthony"	MIN	C	4.13	2	5
6	"Lillard, Damian"	POR	G	6.60	3	9
7	"Jokic, Nikola"	DEN	C	7.60	5	10
8	"Young, Trae"	ATL	G	7.73	5	9
9	"Curry, Stephen"	GS	G	7.73	6	10
10	"Tatum, Jayson"	BOS	F	11.47	8	16
11	"Durant, Kevin"	BKN	F	12.47	9	19
12	"Booker, Devin"	PHO	G	12.60	9	18
13	"Beal, Bradley"	WAS	G	14.27	10	17
14	"Leonard, Kawhi"	LAC	F	14.33	10	19
15	"James, LeBron"	LAL	F	15.07	8	20
16	"Embiid, Joel"	PHI	C	15.20	11	20
17	"Adebayo, Bam"	MIA	"F, C"	16.27	11	22
18	"Collins, John"	ATL	"F, C"	17.80	12	25
19	"Simmons, Ben"	PHI	G	21.80	14	29
20	"Ayton, Deandre"	PHO	C	21.87	17	28
21	"Irving, Kyrie"	BKN	G	23.00	18	40
22	"George, Paul"	LAC	F	23.93	17	31
23	"Westbrook, Russell"	WAS	G	24.27	14	38
24	"Nurkic, Jusuf"	POR	C	24.60	16	38
25	"Mitchell, Donovan"	UTH	G	25.07	20	30
26	"Vucevic, Nikola"	ORL	C	25.67	19	30
27	"Butler, Jimmy"	MIA	F	26.80	22	36
28	"Siakam, Pascal"	TOR	F	28.93	20	37
29	"Gobert, Rudy"	UTH	C	29.33	18	43
30	"LaVine, Zach"	CHI	G	32.53	27	41
31	"Murray, Jamal"	DEN	G	32.80	22	39
32	"Gilgeous-Alexander, Shai"	OKC	G	33.07	22	44
33	"Morant, Ja"	MEM	G	33.27	28	41
34	"Drummond, Andre"	CLE	C	33.53	27	43
35	"Ingram, Brandon"	NO	F	34.87	21	42
36	"Williamson, Zion"	NO	F	35.73	19	57
37	"Fox, De'Aaron"	SAC	G	37.33	29	46
38	"Paul, Chris"	PHO	G	37.73	30	55
39	"Holiday, Jrue"	MIL	G	38.47	32	44
40	"VanVleet, Fred"	TOR	G	39.27	31	44
41	"Sabonis, Domantas"	IND	C	40.13	32	53
42	"Middleton, Khris"	MIL	F	40.67	35	53
43	"Russell, D'Angelo"	MIN	G	42.60	34	53
44	"Lowry, Kyle"	TOR	G	45.80	35	60
45	"Whiteside, Hassan"	SAC	C	47.80	15	84
46	"DeRozan, DeMar"	SA	F	49.40	44	58
47	"Wood, Christian"	HOU	F	51.20	34	65
48	"Capela, Clint"	ATL	"C, F"	53.47	37	63
49	"Covington, Robert"	POR	"F, C"	53.80	45	64
50	"Valanciunas, Jonas"	MEM	C	54.27	47	79
51	"McCollum, CJ"	POR	G	54.33	44	71
