player	injury	position	team	games	fga	fg	threepm	fgp	fta	ftm	ftp	ppg	apg	rbpg	spg	bpg	mpg
"Achiuwa, Precious"		F	MIA														
"Adams, Jaylen"		G	MIL														
"Adams, Steven"		C	NO	58	443	262	1	59.1	183	108	59	10.9	2.4	9.4	0.9	1.1	26.97
"Adebayo, Bam"		"F,C"	MIA	65	719	408	1	56.7	342	236	69	16.2	5.1	10.5	1.2	1.3	34.35
"Aldridge, LaMarcus"		"C,F"	SA	53	794	391	61	49.2	191	158	82.7	18.9	2.4	7.4	0.7	1.6	33.15
"Alexander, Kyle"		F	MIA														
"Alexander-Walker, Nickeil"		G	NO	41	227	77	40	33.9	28	17	60.7	5.1	1.8	2	0.3	0.2	12.17
"Allen, Grayson"		G	MEM	30	176	79	33	44.9	35	30	85.7	7.4	1.4	2.2	0.2	0	16.63
"Allen, Jarrett"		C	BKN	64	413	267	0	64.6	237	147	62	10.6	1.3	9.5	0.6	1.3	25.78
"Allen, Kadeem"		G	NY	10	44	19	5	43.2	11	7	63.6	5	2.1	0.9	0.5	0.2	11.8
"Aminu, Al-Farouq"		F	ORL	18	86	25	9	29.1	29	19	65.5	4.3	1.2	4.8	1	0.4	21.17
"Anderson, Justin"		G	PHI	3	6	1	0	16.7	2	1	50	1	0	0.7	0	0.3	5.67
"Anderson, Kyle"		F	MEM	59	280	138	16	49.3	66	43	65.2	5.7	2.2	4.4	0.8	0.5	19.31
"Anderson, Ryan"		"C,F"	HOU	2	7	2	1	28.6	0	0	0	2.5	1	3.5	0.5	0	7
"Antetokounmpo, Giannis"		F	MIL	57	1139	623	83	54.7	570	361	63.3	29.6	5.8	13.7	1.1	1	30.88
"Antetokounmpo, Kostas"		F	LAL	3	0	0	0	0	0	0	0	0	0.3	0.3	0	0	1.33
"Antetokounmpo, Thanasis"		F	MIL	18	36	19	0	52.8	15	7	46.7	2.5	0.5	1.1	0.3	0.1	5.17
"Anthony, Carmelo"		F	POR	50	679	289	72	42.6	134	113	84.3	15.3	1.6	6.3	0.8	0.5	32.46
"Anthony, Cole"		G	ORL														
"Anunoby, OG"		F	TOR	63	527	267	82	50.7	86	59	68.6	10.7	1.6	5.4	1.4	0.7	30.16
"Arcidiacono, Ryan"		G	CHI	58	220	90	54	40.9	38	27	71.1	4.5	1.7	1.9	0.5	0.1	16.03
"Ariza, Trevor"		F	OKC	53	324	142	77	43.8	74	62	83.8	8	1.7	4.6	1.3	0.3	28.09
"Augustin, D.J."		G	MIL	49	397	156	60	39.3	157	139	88.5	10.4	4.6	2.2	0.6	0	24.76
"Avdija, Deni"		F	WAS														
"Ayton, Deandre"		C	PHO	30	465	255	0	54.8	78	60	76.9	19	1.9	12	0.7	1.7	33.17
"Azubuike, Udoka"		C	UTH														
"Bacon, Dwayne"		G	ORL	39	244	85	19	34.8	53	35	66	5.7	1.3	2.6	0.6	0.1	17.67
"Bagley, Marvin"		F	SAC	13	167	78	4	46.7	31	25	80.6	14.2	0.8	7.5	0.5	0.9	25.62
"Ball, LaMelo"		G	CHA														
"Ball, Lonzo"		G	NO	56	628	259	139	41.2	67	38	56.7	12.4	7	6.2	1.4	0.5	32.41
"Bamba, Mo"		C	ORL	60	282	132	37	46.8	46	31	67.4	5.5	0.7	5	0.4	1.4	14.48
"Bane, Desmond"		G	MEM														
"Barea, J.J."		G	DAL	26	179	74	29	41.3	18	17	94.4	7.5	3.8	1.8	0.2	0.1	15.15
"Barnes, Harrison"		F	SAC	64	711	326	93	45.9	244	196	80.3	14.7	2.4	4.8	0.6	0.2	34.83
"Barrett, RJ"		G	NY	56	727	292	63	40.2	254	156	61.4	14.3	2.6	5	1	0.3	30.45
