player	injury	position	team	games	fga	fgm	threepm	fgp	fta	ftm	ftp	totalpts	ppg	totalast	apg	totalrb	rbpg	totalstls	spg	totalblk	bpg	totalmin	mpg
"Achiuwa, Precious"		F	MIA																				
"Adams, Jaylen"		G	MIL																				
"Adams, Steven"		C	NO	58	443	262	1	59.1	183	108	59	633	10.9	141	2.4	543	9.4	50	0.9	65	1.1	1564	26.97
"Adebayo, Bam"		"F,C"	MIA	65	719	408	1	56.7	342	236	69	1053	16.2	333	5.1	683	10.5	78	1.2	85	1.3	2233	34.35
"Aldridge, LaMarcus"		"C,F"	SA	53	794	391	61	49.2	191	158	82.7	1001	18.9	129	2.4	393	7.4	36	0.7	87	1.6	1757	33.15
"Alexander, Kyle"		F	MIA																				
"Alexander-Walker, Nickeil"		G	NO	41	227	77	40	33.9	28	17	60.7	211	5.1	74	1.8	80	2	11	0.3	7	0.2	499	12.17
"Allen, Grayson"		G	MEM	30	176	79	33	44.9	35	30	85.7	221	7.4	43	1.4	66	2.2	6	0.2	1	0	499	16.63
"Allen, Jarrett"		C	BKN	64	413	267	0	64.6	237	147	62	681	10.6	85	1.3	605	9.5	37	0.6	85	1.3	1650	25.78
"Allen, Kadeem"		G	NY	10	44	19	5	43.2	11	7	63.6	50	5	21	2.1	9	0.9	5	0.5	2	0.2	118	11.8
"Aminu, Al-Farouq"		F	ORL	18	86	25	9	29.1	29	19	65.5	78	4.3	21	1.2	87	4.8	18	1	8	0.4	381	21.17
"Anderson, Justin"		G	PHI	3	6	1	0	16.7	2	1	50	3	1	0	0	2	0.7	0	0	1	0.3	17	5.67
"Anderson, Kyle"		F	MEM	59	280	138	16	49.3	66	43	65.2	335	5.7	132	2.2	257	4.4	46	0.8	31	0.5	1139	19.31
"Anderson, Ryan"		"C,F"	HOU	2	7	2	1	28.6	0	0	0	5	2.5	2	1	7	3.5	1	0.5	0	0	14	7
"Antetokounmpo, Giannis"		F	MIL	57	1139	623	83	54.7	570	361	63.3	1690	29.6	329	5.8	783	13.7	60	1.1	58	1	1760	30.88
"Antetokounmpo, Kostas"		F	LAL	3	0	0	0	0	0	0	0	0	0	1	0.3	1	0.3	0	0	0	0	4	1.33
"Antetokounmpo, Thanasis"		F	MIL	18	36	19	0	52.8	15	7	46.7	45	2.5	9	0.5	19	1.1	6	0.3	2	0.1	93	5.17
"Anthony, Carmelo"		F	POR	50	679	289	72	42.6	134	113	84.3	763	15.3	79	1.6	313	6.3	40	0.8	23	0.5	1623	32.46
"Anthony, Cole"		G	ORL																				
"Anunoby, OG"		F	TOR	63	527	267	82	50.7	86	59	68.6	675	10.7	99	1.6	341	5.4	88	1.4	42	0.7	1900	30.16
"Arcidiacono, Ryan"		G	CHI	58	220	90	54	40.9	38	27	71.1	261	4.5	96	1.7	110	1.9	27	0.5	3	0.1	930	16.03
"Ariza, Trevor"		F	OKC	53	324	142	77	43.8	74	62	83.8	423	8	91	1.7	246	4.6	69	1.3	15	0.3	1489	28.09
"Augustin, D.J."		G	MIL	49	397	156	60	39.3	157	139	88.5	511	10.4	223	4.6	109	2.2	30	0.6	1	0	1213	24.76
"Avdija, Deni"		F	WAS																				
"Ayton, Deandre"		C	PHO	30	465	255	0	54.8	78	60	76.9	570	19	57	1.9	360	12	22	0.7	51	1.7	995	33.17
"Azubuike, Udoka"		C	UTH																				
"Bacon, Dwayne"		G	ORL	39	244	85	19	34.8	53	35	66	224	5.7	52	1.3	100	2.6	23	0.6	2	0.1	689	17.67
"Bagley, Marvin"		F	SAC	13	167	78	4	46.7	31	25	80.6	185	14.2	10	0.8	97	7.5	6	0.5	12	0.9	333	25.62
"Ball, LaMelo"		G	CHA																				
